time,天神南-渡辺通,渡辺通-薬院,薬院-薬院大通,薬院大通-桜坂,桜坂-六本松,六本松-別府,別府-茶山,茶山-金山,金山-七隈,七隈-福大前,福大前-梅林,梅林-野芥,野芥-賀茂,賀茂-次郎丸,次郎丸-橋本
7:00-7:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:15-7:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:30-7:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:45-8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8:00-8:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8:15-8:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8:30-8:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8:45-9:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:00-9:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:15-9:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:30-9:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:45-10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:00-16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:15-16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:30-16:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:45-17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:00-17:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:15-17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:30-17:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:45-18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:00-18:15,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
18:15-18:30,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
18:30-18:45,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
18:45-19:00,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
